Name,Variety,Flavors,Producer Country
Ethiopia Uraga Wine Process Espresso Single Origin,Heirloom Varietals,"Berry, Fermented, Wine, Sweet",Ethiopia
Kenya Thiriku Aa Washed Filter Single Origin,"Sl34, Sl28, Batian, Ruiru 11","Currant, Dried Fruit, Lemon, Berry, Herb, Raisin",Kenya
Honduras Aracely Martinez Honey Espresso Single Origin,"Catimor, Lempira","Nut, Sugar, Almond, Herb, Citrus, Sweet",Honduras
Sumatra Cindaku Natural,Sumatra Cindaku Natural,"Tropical Fruit, Dark Chocolate, Dried Fruit, Fermented, Chocolate, Mango, Stone Fruit",Indonesia
La Llamarada,"Caturra, Catuai, Marsellesa","Nut, Sweet Cream, Almond, Chocolate, Apricot, Stone Fruit",Nicaragua
Honduras Mother Son Blend Red Honey,"Catuai, Pacas","Honey, Sweet, Red Apple, Vanilla",Honduras
Peru Cenfrocafe,Caturra + Typica,"Sweet Cream, Dried Fruit, Date, Chocolate",Peru
Uganda Sironko,Sl14 Sl28 Nyasaland,"Spice, Tropical Fruit, Ginger",Uganda
Kenya Boma,Landraces,"Plum, Chocolate, Tea, Stone Fruit",Kenya
Winter Annuals 2025,"Bourbon, Catuai","Tropical Fruit, Cider, Sweet, Spice, Orange, Citrus, Graham",Honduras
El Salvador Carlos Pola Dehydrated Honey,"Castillo, Limonares, Pacas, Heirloom, Parainema","Pomegranate, Sweet Cream, Berry, Jam, Brown Sugar, Acid, Caramel",El Salvador
Kenya Kiamugumo,"Sl28, Batian, Ruiru 11","Tropical Fruit, Berry, Cherry, Agave, Caramel, Apple, Sweet",Kenya
Guatemala Ayarza Natural,"Caturra, Yellow Catuai, Bourbon","Lime, Floral, Grape, Citrus, Sweet",Guatemala
Excelsior Issue Three A Limited Release Gesha Blend,Gesha Blend,"Floral, Cocoa Powder, Clove, Berry, Chocolate, Cherry, Honey, Sweet, Spice",El Salvador
Tumbaga Decaf,Local,"Pear, Plum, Honey, Sweet, Stone Fruit",Colombia
The Future Chocolate Covered Strawberries,"Pacamara, Caturra","Chocolate, Straw Berry, Sweet, Berry",El Salvador
Guatemala Santa Felisa Dwarf Gesha,Dwarf Gesha,"Tropical Fruit, Peach, Chocolate, Cocoa Nib, Grape Fruit, Orange, Citrus, Stone Fruit",Guatemala
Honduras Rosalina Ramos Year 2,Ih-90,"Nut, Tropical Fruit, Sweet Cream, Chocolate, Orange, Citrus",Honduras
Assembly Decaf Brazil,"Yellow Catucaí, Mundo Novo, Arara, Acaiá","Nut, Hazel Nut, Sweet Cream, Milk Chocolate",Brazil
Ethiopia Ayla Bombe,"Jarc 74110, Jarc 74158","Peach, Bergamot, Vanilla, Citrus, Sweet, Stone Fruit",Ethiopia
/048 Colombia — Castillo,Castillo & Colombia,"Caramel, Sweet, Red Apple",Colombia
Fabian Lomas,Bourbon Sydra,"Floral, Fermented, Ginger, Pear, Sweet, Vegetal, Lemon, Herb, Spice, Citrus, Ale",Ecuador
MARAGESHA Colombia — Wilder Lazo,Maragesha,"Nectarine, Floral, Jasmine, Grape, Blue Berry, Milk Chocolate, Berry, Cream, Caramel, Apple, Tea, Stone Fruit",Colombia
Ethiopia Daye Bensa (6oz),Local Heirloom,"Floral, Jasmine, Apricot, Tea, Stone Fruit",Ethiopia
Ethiopia Arbegona Rumudamo,74112 Ethiopian Heirlooms,"Floral, Bergamot, Apricot, Jam, Honey, Citrus, Sweet, Stone Fruit",Ethiopia
Las Delicias Yellow Pacas,Yellow Pacas,"Tropical Fruit, Berry, Blue Berry, Banana, Jam, Citrus, Sweet",Nicaragua
San Jose Yellow Pacamara,Yellow Pacamara,"Tropical Fruit, Floral, Fermented, Passion Fruit, Spice, Citrus, Mango",Nicaragua
Ethiopia Sookoo Anoxic,Gibirinna 74110 & Serto 74112,"Sweet Cream, Straw Berry, Cookie, Berry, Milk Chocolate",Ethiopia
Mexico Luis Ordoez,"Garnica, Bourbon","Nut, Nougat, Sweet Cream, Milk Chocolate, Brown Sugar, Caramel",Mexico
Mateo Bahamon Finca Santa Teresa,"Pink Bourbon, Gesha","Grape, Pear, Sweet, Jam",Colombia
Luis Roldan Red Caturra,Red Caturra,"Nut, Tropical Fruit, Clove, Almond, Chocolate, Cocoa, Vanilla, Spice, Orange, Citrus, Sweet",Guatemala
Werka,Ethiopian Landraces & Jarc Varieties,"Nectarine, Floral, Toffee, Blue Berry, Berry, Caramel, Stone Fruit",Ethiopia
Elefante,Elefante,"Citrus, Sweet Cream, Lemon, Berry, Milk Chocolate, Rasp Berry",El Salvador
Perla Negra Lot Kawa,Castillo Naranjal,"Black Berry, Floral, Sweet Cream, Chocolate, Berry",Colombia
Nicaragua Montenegro Mara,"Maragogype, Maracaturra","Nut, Tropical Fruit, Dried Fruit, Fermented, Praline, Beer, Chocolate, Herb, Caramel, Orange, Citrus, Raisin, Earthy",Nicaragua
Ratnagiri Estate India,Cavery,"Nut, Cream, Clove, Pecan, Chocolate, Butter, Cocoa, Spice",India
La Isla - Apollon's Gold,Eth47,"Tropical Fruit, Floral, Fermented, Passion Fruit, Melon, Tea, Sweet",Costa Rica
El Vergel Decaf - Manhattan,Red And Yellow Caturra,"Berry, Rasp Berry, Sweet, Red Apple",Colombia
El Diviso - Sweven,Bourbon Ají,"Tropical Fruit, Peach, Fermented, Acid, Sweet, Stone Fruit",Colombia
Ethiopia Gera Estate Anaerobic Natural,"74110, 74112, 74140, 74165","Grape, Straw Berry, Raisin, Berry",Ethiopia
The Future Spiced Orange Nov 24,"Pink Bourbon, Ethiopian Heirlooms","Ginger, Bread, Brown Sugar, Caramel, Citrus, Sweet, Spice",Colombia
Overripe Fermentation Series Lacti,Yellow Catucai,"Cream, Stone Fruit, Peach, Floral",Brazil
Jardines Del Eden Kolumbien Filter,Pink Geisha,"Lavender, Floral, Red Grape, Red Apple, Spice, Sweet",Colombia
Ethiopia: Chelelektu,"Kurume, Wolisho, Dega","Rose, Floral, Jasmine, Sweet, Bergamot, Berry, Honey, Citrus, Tea",Ethiopia
Colombia Purple Caturra Cardamon,"Purple Caturra, Ethiopian Heirlooms","Clove, Brown Sugar, Caramel, Sweet, Spice",Colombia
"Colombia Huila Monteblanco ""Pina Colada"" | 150g",Purple Catura,"Tropical Fruit, Peach, Spice, Orange, Citrus, Apple, Sweet, Stone Fruit",Colombia
Ecuador Robusta By Calixto Rivera,Pepon Brasilia Robusta,"Nut, Green Apple, Floral, Tea, Sweet Cream, Chocolate, Butter, Cocoa, Herb, Mint, Caramel, Citrus, Honey",Ecuador
Pacamara La Gloria,Red Pacamara,"Tropical Fruit, Passion Fruit, Grape Fruit, Caramel, Citrus, Sweet",Nicaragua
Mexico Cup of Excellence #2 Marsellesa & Costa Rica Washed [Score 90.63],Marsellesa & Costa Rica 95,"Tropical Fruit, Sweet Cream, Maple Syrup, Apple, Mango, Stone Fruit",Mexico
Honduras Enemecio Vasquez Benitez Microlot,"Ihcafe 90, Lempira","Nut, Hazel Nut, Sweet Cream, Marsh Mallow, Caramel, Apple",Honduras
Telila Kecho Anderacha,"Jarc 74110, Jarc 74112","Tropical Fruit, Floral, Lychee, Honey, Citrus, Sweet, Blood Orange",Ethiopia
Festive Blend,"Red Bourbon, Rab C15, Caturra, Castillo & Typica","Tropical Fruit, Sweet Cream, Plum, Pudding, Spice, Orange, Citrus, Stone Fruit",Unknown
Makena Estate,"Sl28, Sl34, Ruiru 11 & Batian","Berry, Black Berry, Currant, Floral",Kenya
Kianjuki Kenya,"Batian, Ruiru 11, Sl28","Tropical Fruit, Lime, Melon, Caramel, Citrus, Sweet",Kenya
Viani - Manhattan,"Colombia, Castillo, Typica","Fermented, Grape, Chocolate, Cocoa, Cream, Stone Fruit",Colombia
Suke Quto - Uncommon,"Kurume, Welicho","Berry, Fermented, Sweet",Ethiopia
【SPECIAL】HONDURAS El Puente Batian - Washed / 100g,Batian,"Tropical Fruit, Peach, Floral, Stone Fruit, Citrus, Blood Orange",Bolivia
【SPECIAL】BOLIVIA Floripondio SL34 - Lactic Pink Honey,Sl34,"Floral, Sweet Cream, Pear",Taiwan
"Mchana Estate, SL28 & SL34 & Ruiru11 & Batian, Natural, Kenya",Sl28 & Sl34 & Ruiru11 & Batian,"Currant, Berry, Red Grape, Red Apple, Spice, Rasp Berry, Sweet",Kenya
250g Ethiopia Banko Gotti,Jarc Variety 74148,"Tropical Fruit, Floral, Jasmine, Sweet, Vanilla, Tea",Ethiopia
250g Colombia finca La Guaca,"Bourbon Rosato, Bourbon Rojo & Castillo","Dark Chocolate, Plum, Chocolate, Caramel, Sweet, Stone Fruit",Colombia
Inacio Soares F2 - Manhattan,Red And Yellow Catuai,"Nut, Floral, Praline, Flower, Chocolate, Caramel",Brazil
Shoondhisa - Manhattan,Gibirinna 74110 Serto 74112,"Straw Berry, Blue Berry, Berry, Jam, Sweet",Ethiopia
Pearl - Mame,Mundo Novo,Chocolate,Brazil
Mukuyuni - Nomad,"Batian, K7, Ruiru 11, Sl28, Sl34","Tropical Fruit, Floral, Elder Flower, Caramel, Orange, Citrus, Sweet",Kenya
Maritza Mamani Peaberry - LiLo,"Caturra, Typica, Peaberry","Nut, Grape Fruit, Peach, Roasted, Almond, Berry, Cherry, Citrus, Stone Fruit",Bolivia
Kamwangi Aa - Drop Coffee Roasters,"Sl28, Sl34 And Ruiru 11","Acid, Lime, Currant, Fermented, Straw Berry, Berry, Bran, Citrus",Kenya
Disco Marmalade - Luna,Kurume & Wolisho,"Sweet Cream, Jelly, Grape, Acid, Tea, Stone Fruit",Ethiopia
Classic Synergy Harley - Fritz Coffee Company,Sl795,"Nut, Tropical Fruit, Fig, Dried Fruit, Sweet, Melon, Brown Sugar, Wal Nut, Caramel",India
Chelbesa - Sweven,Dega & Wolisho,"Oat, Peach, Floral, Sweet Cream, Jasmine, Fermented, Lemon, Acid, Citrus, Tea, Stone Fruit",Ethiopia
Cerro Azul - Drop Coffee Roasters,Red Catuaí,"Sweet Cream, Fermented, Milk Chocolate",Honduras
Aga - Coffee Collective,74158 Kurume,Acid,Ethiopia
Ethiopia Ayele Tulu,"Field Blend, Largely 74158","Tropical Fruit, Floral, Fermented, Berry, Orange, Citrus, Sweet",Ethiopia
"Release 028 - Las Lajas, Milenio Honey",Milenio,"Berry, Cran Berry, Peach, Stone Fruit",Costa Rica
Nicaragua La Cascada,Mundo Maya F1,"Nut, Praline, Milk Chocolate, Cream, Caramel, Apple",Nicaragua
Colombia - El Jaragual Rosado [24/25],"Variedad Colombia, Castillo","Tropical Fruit, Straw Berry, Passion Fruit, Berry, Sweet",Colombia
Costa Rica Don Joel Kenia,Kenia Sl28,"Fig, Currant, Dried Fruit, Toffee, Berry, Grape Fruit, Caramel, Citrus",Costa Rica
Kaptega Estate Peaberry,"Ruiru 11, Sl28","Prune, Dried Fruit, Rhubarb, Vegetal, Berry, Acid, Rasp Berry, Sweet",Kenya
Kiamugumo Aa,Sl28 Sl34,"Rhubarb, Vegetal, Berry, Grape Fruit, Acid, Citrus",Kenya
Costa Rica Gaia Artisan Light Roast,H10,"Lime, Floral, Nougat, Berry, Red Apple, Cherry, Citrus, Sweet",Costa Rica
China Yunnan Puer Medium Roast,"Catimor, Typica, Bourbon","Sweet Cream, Pear, Berry, Cherry, Candy, Citrus",China
Colombia Aji,Ají Landrace,"Currant, Toffee, Berry, Vanilla, Caramel, Sweet",Colombia
Kaffebonner Brasil Juleespresso,Starmaya,"Tropical Fruit, Licorice, Dried Fruit, Fermented, Herb, Spice, Apple, Sweet",Brazil
Kaffebonner Klassisk Julekaffe Fra Guatemala,Caturra And Bourbon,"Tropical Fruit, Orange, Sweet Cream, Fermented, Milk Chocolate, Caramel, Citrus",Guatemala
Brazil Vinhal ML-46 Grape Starfruit,Catuai 99,"Concord Grape, Sweet, Chamomile, Floral",Brazil
Colombia La Victoria,Caturra Field Blend,"Tropical Fruit, Peach, Floral, Red Grape, Orange, Citrus, Stone Fruit",Colombia
Colca Peru 250G,Typica & Bourbon,"Nut, Sweet, Cashew, Chocolate, Cocoa, Cinnamon, Brown Sugar, Wal Nut, Apple, Caramel, Spice",Mexico
El Triunfo San Bernardo Colombia,San Bernardo,"Tangerine, Nut, Tropical Fruit, Floral, Pear, Sweet, Almond, Lemon, Vegetal, Herb, Spice, Citrus, Mango, Stone Fruit",Colombia
Mohammed Abu Nura,Gibirinna 74110,"Nut, Floral, Jasmine, Apricot, Jam, Nutmeg, Tea, Sweet, Stone Fruit",Ethiopia
Okolu Natural Sundried,"74110, 74112, Ethiopia Landrace","Tropical Fruit, Floral, Straw Berry, Flower, Berry, Citrus, Blood Orange",Ethiopia
12 Oz La Golondrina,Castillo And Caturra,"Nut, Cream, Berry, Milk Chocolate, Cherry",Colombia
GUJI - ETHIOPIA,"Mikicho, 74158, 74112","Tropical Fruit, Guava, Papaya, Citrus",Ethiopia
Uganda Kajere Honey,"Sl28, Sl14, Nyasaland","Tropical Fruit, Lime, Fermented, Papaya, Spice, Citrus, Sweet",Uganda
200g Colombia Los Nogales,Bourbon Naranja,"Tropical Fruit, Currant, Berry, Orange, Citrus, Tea",Colombia
Velvet Bliss Espresso Colombia Anaerobic Washed,Caturra & Bourbon,"Cran Berry, Grape, Berry, Grape Fruit, Citrus",Guatemala
Cocano Haiti Specialty Coffee,Heirloom Typica,"Nut, Pecan, Chocolate, Cedar, Tobacco, Herb, Sweet, Earthy",Haiti
Ferney Cruz Colombia 250G,Caturra & Colombia,"Plum, Grape, Honey, Citrus, Sweet, Stone Fruit",Colombia
Central American Juanilama - Nomad,Sarchimore X Rume Sudan,"Pear, Herb, Brown Sugar, Caramel, Sweet",Costa Rica
Robinson Figueroa Density Separation,"Colombia, Caturra","Spice, Dried Fruit, Fig, Sweet",Colombia
Katia Duke Natural Honduras,"Catuai, Obatán","Lime, Floral, Sweet Cream, Fermented, Butter, Caramel, Citrus",Honduras
Coffea Diversa Ghimbi,Ghimbi,"Nut, Green Apple, Blue Berry, Berry, Chocolate, Cream",Costa Rica
Brazil Joao Hamilton Sitio Canaa Sumatra Espresso,Sumatra,"Tropical Fruit, Chocolate, Red Grape, Cocoa, Orange, Citrus",Brazil
Kenya Aa Gicherori Single Origin,"Batian, Ruiru11, Sl28, Sl34","Currant, Toffee, Chocolate, Berry, Cherry, Caramel, Sweet, Spice",Kenya
Silvia,"Ana Café 14, Gesha","Nut, Sugar, Floral, Sweet Cream, Fermented, Almond, Grape, Spice",Mexico
Kenya Muhathi AA 7oz,"Sl28, Sl34, Batian, And Ruiru","Tropical Fruit, Nectarine, Passion Fruit, Orange, Citrus, Sweet, Stone Fruit",Kenya
Cinnamon Roll - Colombia,Caturra & Pink Bourbon,"Clove, Ginger, Bread, Cinnamon, Spice, Anise, Sweet",Colombia
Nicaragua Maria Eugenia La Huerta Natural Process,Bourbon And Typica,"Tropical Fruit, Chocolate, Berry, Cocoa Nib, Rasp Berry, Apple, Sweet",Nicaragua
Colombia La Granja Tres Dragones Natural,Heirloom Blend,"Nut, Tropical Fruit, Dark Chocolate, Wine, Floral, Dried Fruit, Fermented, Flower, Chocolate, Spice, Apple, Sweet",Colombia
The Riff,"Ethiopian Heirlooms, Pink & Yellow Bourbon","Sweet Cream, Floral",Colombia
Ethiopia Ayele Tulu,"74158, 74110, 74112, 74165","Tropical Fruit, Guava, Cider, Melon, Spice, Sweet",Ethiopia
El Guaco,Pacas And Pacamara,"Tropical Fruit, Black Berry, Peach, Floral, Berry, Orange, Citrus, Stone Fruit",Honduras
Costa Rica Santa Teresa 2000 Kenia White Honey,Kenia,"Nut, Tropical Fruit, Sugar, Wal Nut, Sweet, Orange, Citrus, Tea",Costa Rica
Kenya Chorongi,Sl28 & Sl34 Ab,"Berry, Straw Berry, Peach, Stone Fruit",Kenya
Sonora H1 Centroamericano Costa Rica Filter,H1 Centroamericano,"Milk, Tropical Fruit, Floral, Tea, Jasmine, Sweet Cream, Melon, Candy, Honey",Guatemala
Teshome Gemechu,"74110, Dega, Wolisho","Plum, Stone Fruit, Tea, Floral",Ethiopia
Guji Flip Flops Ethiopia,"14112, Enat Buna","Dried Fruit, Straw Berry, Berry, Apple, Sweet",Ethiopia
Kamavindi Kenya Washed Sl28 Ab 1,"Sl28, Sl34, Ruiru 11, Batian Ab","Berry, Black Berry, Red Apple, Floral",Kenya
Ethiopia Gesha Village 1931 OMA Lot E-41 Natural,Geisha 1931,"Bergamot, Citrus, Red Grape, Floral",Ethiopia
Colombia - Nestor Lasso (Ombligón),OmbligóN,"Tropical Fruit, Apple, Sweet, Vanilla",Colombia
Peru La Colina,"Typica, Caturra","Spice, Chocolate, White Chocolate, Citrus",Peru
Costa Rica Steven Vargas,"Caturra, Caturai, Bourbon, Villa Sarchi","Pomegranate, Tropical Fruit, Sweet Cream, Mango, Stone Fruit",Costa Rica
Mooleh Manay Excelsa,Excelsa,"Floral, Sweet Cream, Pear, Berry, Herb, Vanilla",India
Macho,Catuaī,"Nut, Toffee, Almond, Berry, Cherry, Caramel",Costa Rica
Sweetshop,"Catuaí, Jarc 74110, Jarc 74112",Sweet,Ethiopia
Putra Gayo Indonesia,"Ateng, Bor Bor, Timor, Catimor","Tropical Fruit, Lychee, Marmalade, Apricot, Caramel, Stone Fruit",Indonesia
Ethiopia Rumudamo,"74112, Ethiopian Heirlooms","Sweet Cream, Straw Berry, Blue Berry, Berry",Ethiopia
GUATEMALA Don Angel,"Bourbon, Caturra, San Ramon","Nut, Green Apple, Almond, Chocolate, Cocoa, Vanilla, Brown Sugar, Caramel, Citrus, Sweet",Guatemala
Banananza Espresso,Caturra And Castillo,"Tropical Fruit, Sweet, Banana, Jam",Colombia
Daniel Mijane,"74110, 74112, Kurume","Straw Berry, Chocolate, Berry, Cocoa Nib, Brown Sugar, Caramel, Sweet",Ethiopia
Las Lajas - Swerl,Typica Lima,Floral,Costa Rica
Brazil Daterra Aramosa,Aramosa,"Pomegranate, Sweet Cream, Milk Chocolate, Spice, Apple",Brazil
Christmas Espresso Colombia Kenya,"Caturra, Colombia, Sl28, Sl34, Ruiru11, Batian","Nut, Marzipan, Spice, Caramel, Apple, Sweet",Colombia
Christmas Coffee Madan Estate Papua New Guinea,"Arusha, Bourbon, Typica","Plum, Chocolate, Caramel, Stone Fruit",Papua New Guinea
Colombia Jardines Del Eden Pink Gesha,Pink Gesha,"Nectarine, Floral, Jasmine, Berry, Rasp Berry, Tea, Stone Fruit",Colombia
Alturas Del Triunfo,Bourbon Red & Caturra Yellow,Chocolate,Mexico
Fazenda Cachoeira Miriam Monteiro De Aguiar Brazil,Catiguá Mg 2,"Dark Chocolate, Toffee, Plum, Chocolate, Cream, Caramel, Stone Fruit",Brazil
Kabogo Kongo Filterkaffee,"Kabare 16, Chizungu, Mulungu, Katamor","Sugar, Sweet, Blue Berry, Berry, Apple, Tea",Democratic Republic Of The Congo
Shibru Dube,"Dega, Wolisho, Kurume","Lavender, Peach, Floral, Blue Berry, Berry, Milk Chocolate, Cream, Stone Fruit",Ethiopia
Ethiopia Tabe Burka CWS Washed,"74110, Jarc Varieties, Ethiopian Landraces","Tropical Fruit, Sugar, Peach, Nectarine, Lychee, Blue Berry, Berry, Acid, Sweet, Stone Fruit",Ethiopia
Juana Lopez,Pluma Hidalgo,"Lime, Sweet Cream, Lemon, Custard, Honey, Citrus, Tea",Mexico
Unicorn Pony,"Metu Bishari, Gera, Merdacheriko","Black Berry, Sweet Cream, Straw Berry, Lemon, Grape, Berry, Maple Syrup, Caramel, Citrus",Ethiopia
Santa Felisa Gesha Washed Coffee,Gesha 2722,"Lime, Peach, Sugar, Bergamot, Apricot, Citrus, Sweet, Stone Fruit",Guatemala
Vietnam - Mùa Hè,"Bourbon, Typica & Caturra",,Vietnam
Indonesia - Rakyat winey,"Abyssinia, Ateng, Caturra, Gayo, Timtim, Typica","Tropical Fruit, Milk, Cream, Orange, Citrus, Apple",Indonesia
Ethiopie - Uraga Oro,"Ethiopian Heirlooms, Jarc","Cherry, Berry, Tropical Fruit, Citrus",Ethiopia
Ngurueri Kenya Aa,Sl28. Sl34. Ruiru 11. Batian. K7. Aa,"Black Berry, Currant, Vegetal, Berry, Tomato, Cherry, Rasp Berry, Sweet",Kenya
Uganda Zesui Women Farmers,Sl14,"Nut, Nougat, Sweet Cream, Dried Fruit, Date, Milk Chocolate",Uganda
Inza Ignacio Quintero Colombia,"Caturra, Colombia, Castillo & Typica","Tropical Fruit, Herb, Apple, Mango, Stone Fruit",Colombia
Vanessa Moreno Espresso Brazil Alta Mogiana,Catucai,"Nut, Hazel Nut, Chocolate, Dark Chocolate",Brazil
Vista Hermosa - Coffee Collective,"Bourbon, Caturra, Catuai","Apricot, Apple, Sweet, Stone Fruit",Guatemala
Santa Margarita - Traffic,"Caturra, Sarchimor, Catimor, Geisha","Dark Chocolate, Fermented, Chocolate, Caramel, Sweet",Guatemala
Thailand Mae Sui Natural 250G,"Catuai, Typica, Chiang Mai","Nut, Tropical Fruit, Pear, Almond, Plum, Citrus, Stone Fruit",Thailand
Ethiopia Nano Challa,"Ethiopian Heirloom, 1274","Peach, Floral, Bergamot, Berry, Citrus, Stone Fruit",Ethiopia
El Bombo Espresso,"Bourbon, Castillo, Caturra, Colombia","Nut, Persimmon, Cashew, Milk Chocolate, Cream",Colombia
Trung Huynh Orange Robusta Natural,Orange Robusta,"Nut, Citrus, Almond",Vietnam
Tariku Kare Washed,"74158, 74165","Peach, Floral, Lemon, Acid, Citrus, Sweet, Stone Fruit",Ethiopia
Sumatra Ribang Gayo Natural,"Abyssinia, Ateng, Gayo 1, Gayo 2, Timtim","Tropical Fruit, Sweet Cream, Straw Berry, Berry, Pudding, Banana",Indonesia
Producers Pride Costa Rica,"Caturra, Catuaí, Villalobos","Nectarine, Sweet Cream, Chocolate, Cocoa Nib, Bread, Stone Fruit",Costa Rica
La Folie Guatemala,"Bourbón, Caturra","Floral, Sweet Cream, Jasmine, Chocolate, Cocoa Nib, Tea",Guatemala
Sweet Tooth Espresso Talea De Castro,"Marsellesa, Sarchimor, Typica","Nut, Almond, Toast, Apple, Tea",Mexico
Mexico Cristal,"Garnica, Costa Rica, Marsellesa, Caturra","Nut, Tropical Fruit, Sweet, Almond, Chocolate, Berry, Cherry, Orange, Citrus, Caramel",Mexico
Bolivia Noche Fria,Pacamara And Geisha,"Sweet, Fudge, Berry, Cinnamon, Herb, Spice, Tea",Bolivia
Gonzalo Castillo,"H10, H3, H18 , Starmaya , Marseillaise","Sweet Cream, Straw Berry, Plum, Berry, Milk Chocolate, Stone Fruit",Nicaragua
Konga Amederaro Supernatural,Jarc Varieties,"Peach, Floral, Berry, Milk Chocolate, Cream, Stone Fruit",Ethiopia
Honduras Sky High,"Bourbon, Pacas, Catuaí","Nut, Dark Chocolate, Floral, Almond, Chocolate, Honey, Sweet",Honduras
#116 HandsxFeet Special Collaboration,"Dega, Kurama, 74110","Caramel, Berry, Chocolate",Ethiopia
Telila Ethiopia,"Jarc 74112, 74110","Lemon, Chocolate, Plum, Cocoa Nib, Citrus, Sweet, Stone Fruit",Ethiopia
Apple & Plum wine,"Sl28, Sl34, Batian, Ruiru 11 Peaberry","Wine, Fermented, Plum, Berry, Citrus, Tea, Sweet, Stone Fruit",Kenya
Thirikwa Sl28 Sl34 Ruiru 11 Batian,"Sl28, Sl34, Batian, And Ruiru 11","Pomegranate, Cran Berry, Sweet Cream, Fermented, Berry, Butter, Acid, Caramel",Kenya
Sumatra Kerinci Honey,"Andung Sari, Sigararutang, P88, Tim-Tim, Bor-Bor","Black Berry, Floral, Berry, Agave, Caramel, Sweet",Indonesia
El Morito Guatemala Washed Red Gesha Limited,Red Gesha,"White Grape, Stone Fruit, Sweet, Floral",Guatemala
El Monarca,Ih90,"Tropical Fruit, Caramel, Tea, Passion Fruit",Honduras
"Mexico Marcela & Esmerelda, Washed Typica & Mundo Novo",Typica & Mundo Novo,"Acid, Lime, Dried Fruit, Date, Straw Berry, Berry, Bran, Citrus, Sweet",Mexico
Santa Barbara,"Caturra, Typica & Sarchimor","Nut, Almond, Chocolate, Spice, Cardamom",Guatemala
El Castano Honey Mexico 250G,Typica & Peñasco,"Chest Nut, Nut, Chocolate, Cocoa, Red Apple",Mexico
Marcelo Assis - Traffic,Paraïso,"Pie, Lime, Sweet Cream, Fermented, Chocolate",Brazil
Fikadu - Traffic,"74110, 74112 Heirloom","Fermented, Sweet, Stone Fruit",Ethiopia
Panama Janson Lot 457,Green Tip Gesha,"Peach, Floral, Vanilla, Honey, Sweet, Stone Fruit",Panama
Royal Colombia Decaf,"Caturra, Typica, Castillo, And Colombia","Milk Chocolate, Cream, Apple",Colombia
Kenya Gatuya Aa Espresso,"Sl28, Sl34, Ruiru11, And Batian","Tropical Fruit, Toffee, Caramel, Spice, Orange, Citrus, Sweet",Kenya
Ethiopia Tibedu Roba Filter,Kurume And Wolicho,"Peach, Tea, Sweet, Stone Fruit",Ethiopia
Santa Monica Aruzi Colombia 100G,Aruzi,"Tropical Fruit, Lime, Floral, Sweet Cream, Apricot, Melon, Chamomile, Yuzu, Citrus, Tea, Stone Fruit",Colombia
Quarter Caf - Traffic,"Ancestral, Caturra Castillo",,Colombia
Colombia COE #27 Finca El Cairo 100g,"Colombia, Typica","Black Berry, Tropical Fruit, Sweet Cream, Dried Fruit, Date, Plum, Grape, Berry, Caramel, Anise, Mango, Spice, Stone Fruit",Colombia
Fazenda Serra Do Bone,"Red Catuaí, Yellow Catuaí, Catucaí","Dark Chocolate, Dried Fruit, Fermented, Sweet, Rum, Chocolate, Raisin, Spice, Graham",Brazil
Pie San Yellow Typica Excluive Lot,Yellow Typica,"Tropical Fruit, Lavender, Floral, Citrus, Apple",Colombia
Kenya Kii Ab Filter,"Batian, Bourbon, K7, Ruiru 11, Sl28, Sl34","Black Berry, Currant, Berry, Spice, Sweet",Kenya
Costa Rica Cup of Excellence #3 Experimental [Score 90.42],San Roque,"Tropical Fruit, Sugar, Chocolate, Apricot, Cocoa, Papaya, Acid, Honey, Sweet, Stone Fruit",Costa Rica
Thailand Mae Suai,"Catuai, Typica, Chiang Mai, And Sj133","Chocolate, Peach, Cocoa, Stone Fruit",Thailand
Kenya Nyamatu AA,"Sl28, And Sl34","Tropical Fruit, Nectarine, Passion Fruit, Plum, Sweet, Stone Fruit",Kenya
エチオピア / SIDAMA SHANTAWEN,74167,"Peach, Lemon, Herb, Spice, Citrus, Earthy, Stone Fruit",Ethiopia
Kiandu AA (Kenya),Sl14 & Sl28,"Tropical Fruit, Lime, Currant, Sweet, Vegetal, Berry, Tomato, Brown Sugar, Orange, Citrus, Caramel",Kenya
Kolumbie – La Cuba,"Pink Bourbon, Caturro Chiroso","Tropical Fruit, Floral, Citrus, Marmalade, Lemon, Vegetal, Berry, Herb, Caramel, Orange, Rasp Berry, Sweet",Colombia
"[5th ​​Anniv. Blend] ""Happiness Bloom"" Dark Roast Special ver.","Ethiopian Heirloom, Bourbon, Caturra","Dried Fruit, Straw Berry, Chocolate, Berry, Cream, Caramel, Raisin",El Salvador
Taferi Kela - AMOC,Ethiopian Heirloom + Jarc 74112,"Nut, Fermented, Marzipan, Bergamot, Citrus, Tea, Sweet",Ethiopia
Red Honey - Jiribilla,Sarchimor,"Acid, Sweet Cream, Fermented, Red Apple, Bran, Citrus, Spice",Mexico
R05,Orange Geisha,"Tropical Fruit, Floral, Lychee, Berry, Candy, Citrus, Sweet",Colombia
Pink Balloon - Dak,Red & Pink Bourbon,"Tropical Fruit, Floral, Fermented, Flower, Citrus, Sweet, Blood Orange",Colombia
El Acerillo - Prolog,"Yellow Caturra, Catuai","Nut, Caramel, Apple, Sweet, Stone Fruit",Peru
La Palestina Colombia,Chirinos,"Tropical Fruit, Lavender, Guava, Floral, Pear, Vanilla, Honey, Sweet",Colombia
