Name,Variety,Flavors,Producer Country
Colombia El OSO - Medium Dark,"Mix Castillo, Colombia, Caturra","Berry, Brown Sugar, Acid, Caramel, Sweet",Colombia
Sidra Washed XTD · Finca Soledad,Sidra,"Currant, Floral, Sweet Cream, Berry, Acid, Rasp Berry, Tea",Colombia
Elida Estate Torre Natural Panama,Gesha,"Peach, Floral, Elder Flower, Tea, Stone Fruit",Colombia
Aquiares Estate Esperanza Anaerobic Washed Costa Rica,Esperanza,"Plum, Apple, Stone Fruit",Costa Rica
Finca Villa Betulia Pink Bourbon Anaerobic Natural Colombia,Pink Bourbon,"Tropical Fruit, Wine, Fermented, Straw Berry, Berry, Red Grape",Colombia
Finca El Carmen Yellow Bourbon Anaerobic Natural El Salvador,Yellow Bourbon,"Tangerine, Tropical Fruit, Nectarine, Passion Fruit, Jam, Citrus, Sweet, Stone Fruit",Brazil
Kangocho Aa Sl28 Sl34 Ruiru11 Batian Washed Kenya,"Sl28, Sl34, Ruiru11, Batian","Berry, Rasp Berry, Red Grape, Currant",Kenya
Ruli Red Bourbon Washed Rwanda,Red Bourbon,"Currant, Plum, Berry, Rasp Berry, Stone Fruit",Rwanda
Vanta Coffee House Blend,"Colombia, Caturra, Castillo, Yellow Catuai","Nut, Dark Chocolate, Sweet Cream, Dried Fruit, Pecan, Apricot, Milk Chocolate, Red Apple, Vanilla, Stone Fruit",Colombia And Brazil
Rwanda Nyamurinda Natural,Red Bourbon,"Nut, Milk, Sweet Cream, Dried Fruit, Fermented, Straw Berry, Marzipan, Rum, Berry, Raisin, Spice",Rwanda
2025 Ethiopia Gesha Village,Gesha 1931,"Tropical Fruit, Floral, Straw Berry, Plum, Berry, Jam, Orange, Citrus, Sweet, Stone Fruit",Ethiopia
Panama El Burro Gesha Natural,Gesha,"Tropical Fruit, Floral, Sweet Cream, Berry, Melon, Cherry, Honey, Orange, Citrus",Colombia
El Salvador Fes Kenya Juana 120N,Kenya Juana,"Tropical Fruit, Mousse, Dried Fruit, Fermented, Rum, Chocolate, Cream, Apple, Raisin, Spice",El Salvador
Ethiopia Gesha Village Inv Lot 6,Gesha 1931,"Floral, Jasmine, Bergamot, Apricot, Citrus, Tea, Stone Fruit",Ethiopia
Arnaud Causse Heirloom,Heirloom,"Tropical Fruit, Citrus, Floral, Passion Fruit",Ethiopia
Kena Kii Esp,"Sl34, Sl28","Goose Berry, Berry, Tea, Currant",Kenya
Ethiopia Elto Hamasho Washed Wx,Ethiopian Heirlooms,"Nut, Tropical Fruit, Acid, Peach, Nectarine, Lychee, Sweet Cream, Apricot, Milk Chocolate, Honey, Stone Fruit",Ethiopia
RAFAEL LORA/ Pacas - Fully Washed / HONDURAS,Pacas,"Floral, Sweet, Berry, Apricot, Apple, Tea, Stone Fruit",Honduras
JUAN CARLOS JUAREZ/ Geisha - Fully Washed / HONDURAS,Geisha,"Lavender, Sugar, Floral, Ginger, Lemon, Spice, Citrus, Sweet",Panama
HENIO PEREZ FAMILY/ Geisha - Fully Washed / GUATEMALA,Geisha,"Floral, Jasmine, Honey, Tea, Sweet, Stone Fruit",Panama
JOHEL MONGE NARANJO / Geisha - Red Honey / COSTA RICA,Geisha,"Tropical Fruit, Floral, Dried Fruit, Berry, Apricot, Cream, Orange, Citrus, Apple, Stone Fruit",Panama
Bolivia Alberto poma 200g[ボリビア アルベルトポマ],Catuai,"Cherry, Nut, Berry, Almond",Costa Rica
Brazil Serra Das Tres Barras 200g[ブラジル セハ ダス トレス バハス］,Yellow Bourbon,"Prune, Dried Fruit, Chocolate, Cocoa Nib, Cream",Brazil
Costa Rica Los Cuarteles 200g[コスタリカ ロスクアルテレス],Catuai,"Caramel, Apple",Costa Rica
"El Salvador COE#9 El Manantial ""Anaerobic washed"" 100g[エルサルバドルCOE#9 エルマナンシャル アナエロビックウォッシュト]",Pacamara,"Tropical Fruit, Sweet, Candy, Apple, Mango, Stone Fruit",El Salvador
