Name,Variety,Flavors,Producer Country
Guatemala Finca Gascon Washed Gesha,Gesha,"Nut, Tropical Fruit, Guava, Floral, Sweet Cream, Fermented, Almond, Lemon, Grape, Vegetal, Berry, Chamomile, Herb, Cherry, Acid, Citrus",Colombia
Guatemala Finca Gascon Lactic Fermentation Espresso Only,Caturra,"Nut, Almond, Grape, Chocolate, Butter, Cream, Acid",Colombia
Guatemala Finca Gascon Black Honey,Caturra,"Nut, Sweet Cream, Dried Fruit, Fermented, Blue Berry, Berry, Cocoa Nib, Chocolate, Raisin, Acid, Wal Nut",Colombia
Guatemala Finca Gascon Carbonic Maceration,Bourbon,"Sugar, Sweet Cream, Fermented, Chocolate, Berry, Cherry",Rwanda
Kenya Kiangombe Pb Washed,"Batian, Ruiru 11, Sl28, Sl34","Black Berry, Sweet, Berry, Vanilla, Tea",Kenya
Ethiopia Diima Natural,Ethiopian Heirlooms,"Sweet Cream, Fermented, Straw Berry, Lemon, Berry, Milk Chocolate, Herb, Citrus",Ethiopia
Ethiopia Gedeb Natural,Ethiopian Heirlooms,"Lavender, Floral, Sweet Cream, Fermented, Straw Berry, Berry, Milk Chocolate, Tea",Ethiopia
Ethiopia Sasaba Washed,Ethiopian Heirlooms,"Rose, Peach, Floral, Fermented, Berry, Acid, Citrus, Tea, Stone Fruit",Ethiopia
Guatemala Decaf,"Caturra, Bourbon, Geisha","Currant, Dried Fruit, Chocolate, Berry, Apple, Raisin",Guatemala
Espresso A Ethiopia 1,Ethiopian Heirlooms,"Tropical Fruit, Fermented, Milk Chocolate, Cream, Orange, Citrus, Tea",Ethiopia
Espresso B Brazil,,"Nut, Roasted, Hazel Nut, Chocolate, Berry, Rasp Berry",Ethiopia
Colombia Purple Caturra Blueberry Blend,Purple Caturra,"Sweet Cream, Fermented, Blue Berry, Berry, Milk Chocolate, Brew, Rasp Berry",Colombia
Kenya Kirinyaga Kii Aa Washed,Bourbon,"Tropical Fruit, Sugar, Clove, Sweet, Lemon, Berry, Grape Fruit, Citrus, Tea, Spice, Blood Orange",Rwanda
Bali Kintamani,"Bourbon, Typica, Catimor","Tropical Fruit, Fig, Fermented, Chocolate, Berry, Acid, Orange, Citrus, Sweet",Indonesia
Secret Affair Espresso Blend,Mixed & Heirloom Varietals,Sweet,Ethiopia
Feyisa Abamecha Washed Process Dega Kurame 74110 100G 3 52Oz,Heirloom Varieties,"Stone Fruit, Citrus, Floral",Ethiopia
Wessi Tima 74110 74112 50G 1 76Oz,"74110, 74112","Tropical Fruit, Stone Fruit, Mango, Floral",Ethiopia
Colombia Huila Field Blend Washed Pink Bourbon 50G 1 76Oz,Pink Bourbon,"Berry, Citrus",Colombia
Buku Sayisa Natural Process Dega Kurame 74110 100G 3 52Oz,"Dega, Kurame, 74110","Berry, Sweet, Floral",Ethiopia
Komothai Barikongo Aa Washed Batian Ruiru 11 Sl28 Sl34 100G 3 52Oz,"Batian, Ruiru 11, Sl28, Sl34","Berry, Citrus, Floral",Kenya
Cyiya Murundo Triple Washed Bourbon 50G 1 76Oz,Local Bourbon Varieties,"Berry, Citrus, Tea",Rwanda
Gao Yan Village Group Yunnan Washed Ethiopian Landrace 50G 1 76Oz,Ethiopian Landrace,"Stone Fruit, Floral",Ethiopia
Savage Coffee Morgan Estate Terroir Washed Geisha 100G 3 52Oz,Geisha,"Stone Fruit, Citrus, Floral",Panama
Mbilima,Red Bourbon,"Floral, Dried Fruit, Apricot, Tea, Stone Fruit",Rwanda
Las Cortinas,"Bourbon, Catuaí, Caturra, Pache","Tropical Fruit, Dried Fruit, Milk Chocolate, Cream, Orange, Citrus, Raisin",Guatemala
La Providencia,"Caturra, Colombia","Apricot, Tea, Persimmon, Stone Fruit",Colombia
Victoria Mukamurenzi,Red Bourbon,"Sweet Cream, Lemon, Brown Sugar, Red Apple, Spice, Caramel, Citrus",Rwanda
San Antonio Decaf,"Caturra, Colombia","Nut, Hazel Nut, Sweet Cream, Chocolate, Cocoa, Apple, Spice",Colombia
Anastase Minani,Red Bourbon,"Honey, Tropical Fruit, Citrus, Sweet",Rwanda
Santa Isabel Espresso,Caturra,"Nut, Almond, Plum, Toast, Brown Sugar, Caramel, Sweet, Stone Fruit",Colombia
Colombia El Vergel Estate Yellow Bourbon Anaerobic Natural,Yellow Bourbon,"Tangerine, Tropical Fruit, Peach, Straw Berry, Berry, Citrus, Sweet, Stone Fruit",Brazil
Indonesia Gayo Sumatra Natural Single Origin Filter,"Ateng, Bor Bor, Catimor, Timor","Dark Chocolate, Dried Fruit, Chocolate, Melon, Raisin",Indonesia
Colombia El Vergel Estate Gesha Koji Supernatural,Gesha,"Floral, White Grape, Apricot, Vanilla, Spice, Sweet, Stone Fruit",Colombia
Entre Montañas,Green Tip Geisha,"Floral, Plum, Spice, Candy, Apple, Sweet, Stone Fruit",Panama
Summer,Geisha,"Tropical Fruit, Floral, Lemon, Honey, Orange, Citrus, Sweet",Panama
Jose Jijón Putushio,Typica Mejorada,"Tropical Fruit, Peach, Floral, Flower, Orange, Citrus, Sweet, Stone Fruit",Ecuador
Entre Montañas Oxi,Geisha,"Tropical Fruit, Floral, Jasmine, Lemon, Citrus, Tea, Sweet",Panama
Zorro,Geisha,"Tropical Fruit, Lime, Peach, Sweet, Citrus, Mango, Stone Fruit",Panama
Pepe Jijón TyOxy,Typica Mejorado,"Cotton Candy, Citrus, Sweet, Floral",Ecuador
Pepe Jijón SyOxy,Sidra,"Tropical Fruit, Berry, Papaya, Cherry, Tea",Colombia
José Giraldo,Sidra,"Tropical Fruit, Peach, Dried Fruit, Raisin, Stone Fruit",Colombia
Ivan Solis COE#1,Red Catuai,"Licorice, Herb, Spice, Candy, Sweet",Brazil
Entre Montañas Mokka,Mokka,"Tropical Fruit, Cran Berry, Berry, Orange, Citrus, Tea",Colombia
Ivan Solis,Red Catuai,"Tropical Fruit, Citrus, Floral, Berry, Chamomile, Orange, Rasp Berry",Brazil
Gisele,Yellow Catuai,"Tropical Fruit, Sweet Cream, Custard, Jelly, Apple",Brazil
Shoondhisa,"Gibirinna 74110, Serto 74112","Berry, Straw Berry, Sugar, Sweet",Ethiopia
Rodolfo Ruffatti,Red Bourbon,"Tropical Fruit, Sweet Cream, Milk Chocolate, Candy, Apple",Rwanda
Hartmann Geisha Washed Lot 73,Geisha,"Tropical Fruit, Apricot, Orange, Citrus, Stone Fruit",Panama
Daily,Catuai,"Floral, Sweet Cream, White Chocolate, Chocolate, Honey, Apple",Costa Rica
Limited Panama Elida Catuai,Catuai,"Chocolate, Citrus, Coconut",Costa Rica
Honduras Edin Lopez Sl28 Limited,Sl28,"Pie, Sweet Cream, Berry, Cherry, Rasp Berry",Costa Rica
【SPECIAL】COSTA RICA Santa Teresa Geisha - Red Honey / 100g,Geisha,"Tropical Fruit, Peach, Floral, Lychee, Stone Fruit",Panama
【SPECIAL】ETHIOPIA Koke Hiwot - Super Natural / 100g,Heirloom,"Chocolate, Tropical Fruit, Blue Berry, Berry",Ethiopia
ETHIOPIA Nano Chala - Washed,Ethiopian Heirlooms,"Floral, Fermented, Berry, Cherry, Acid, Spice",Ethiopia
PERU La Colmena - Washed,"Bourbon, Caturra","Green Apple, Tea, Pear, Berry",Guatemala
BRAZIL Sitio Bateia - Pulped Natural,Catucai 785,"Nut, Peach, Roasted, Red Apple, Stone Fruit",Brazil
Altos Bourbon,Bourbon,"Berry, Caramel, Sweet",Rwanda
Barbosa,Catuai,"Dark Chocolate, Berry, Chocolate, Cherry, Sweet",Costa Rica
Educardo Flores,Colombia,Acid,Colombia
Umutumba,Bourbon,"Floral, Dried Fruit, Sweet, Apricot, Tea, Stone Fruit",Rwanda
Shyira Anaerobic,Bourbon,"Berry, Sweet, Floral",Rwanda
Kinini,Bourbon,"Berry, Citrus",Rwanda
ETHIOPIA AYLA BOMBE G1 NATURAL,Landrace,"Rose, Floral, Sweet Cream, Straw Berry, Chocolate, Berry, Vanilla, Honey",Ethiopia
GESHA VILLAGE BANGGI GORI NATURAL GVA.7 (AUCTION LOT),Gori Gesha,"Tropical Fruit, Floral, Bergamot, Honey, Orange, Citrus, Tea",Ethiopia
Guatemala El Socorro Red Bourbon Washed,Red Bourbon,"Nut, Macadamia, Sweet Cream, Milk Chocolate, Red Apple, Honey",Rwanda
Costa Rica Finca Inés Geisha Natural,Geisha,"Currant, Floral, Berry, Red Apple, Sweet",Panama
Costa Rica Las Margaritas 26 Geisha Honey,Geisha,"Tangerine, Tropical Fruit, Sweet Cream, Milk Chocolate, Honey, Citrus, Apple",Panama
Costa Rica Herbazú Villa Sarchi Semi-Washed,Villa Sarchi,"Tropical Fruit, Sweet Cream, Milk Chocolate, Brown Sugar, Caramel, Citrus",Costa Rica
ELIDA ESTATE TORRE GEISHA DARK ROOM DRIED WASHED,Geisha,"Floral, Nectar, Jasmine, Bergamot, Apricot, Citrus, Tea, Sweet, Stone Fruit",Panama
ESMERALDA TUMACO 4ANC - SPECIAL LOT GEISHA COLD ROOM DRIED,Geisha,"Tropical Fruit, Floral, Jasmine, Honey, Tea",Panama
FINCA DEBORAH VIVID GEISHA CARBONIC MACERATION HYBRID,Geisha,"Cotton Candy, Sweet Cream, Apple",Panama
BEST OF PANAMA - SANTA JACINTA PACAMARA WASHED V-11 (AUCTION LOT),Pacamara,"Lavender, Floral, Jasmine, Sweet, Brown Sugar, Caramel, Tea",El Salvador
LOST ORIGIN DON BENJIE GEISHA LAGER PROCESS,Geisha,"Jasmine, Tea, Floral",Panama
GRANJA PARAISO 92 - COMPETITION SUDAN RUME THERMAL SHOCK,Sudan Rume,"Tropical Fruit, Guava, Fermented, Straw Berry, Passion Fruit, Berry, Banana, Spice, Sweet",Colombia
NIGHT DRIVE - ETHIOPIA DECAF,,"Tropical Fruit, Fig, Dried Fruit, Fermented, Berry, Chocolate, Cocoa, Cherry, Sweet, Spice",Ethiopia
SEASONAL BLEND: WINTER,,"Black Berry, Floral, Jasmine, Fermented, Berry, Maple Syrup, Tea, Sweet",Ethiopia
ETHIOPIA Niguse Gemeda Chire Washed,"74112, Heirloom","Elder Flower, Floral, Lemon, Grape Fruit, Honey, Citrus, Sweet",Ethiopia
Ethiopia / SIDAMA CHIRE,74165,"Tropical Fruit, Floral, Mango, Herb, Tea, Stone Fruit",Ethiopia
"Colombia / RISARALDA ""APRICOT PUNCH""","Castillo, Caturra","Peach, Straw Berry, Berry, Apricot, Cherry, Stone Fruit",Colombia
"Colombia / AROMA NATIVO ""PINK BOURBON""",Pink Bourbon,"Peach, Floral, Fermented, Grape Fruit, Citrus, Spice, Stone Fruit",Colombia
ETHIOPIA / EXTRACOLECTION,Heirloom,"Lavender, Floral, Lemon, Grape, Citrus",Ethiopia
"Ethiopia / TAMIRU TADESSE ""ALO BERRY""",74165,"Peach, Floral, Fermented, Straw Berry, Berry, Spice, Stone Fruit",Ethiopia
"Colombia /SAN RAFAEL ""WATERMELON""","Castillo, Caturra","Tropical Fruit, Green Apple, Water Melon, Melon, Spice, Sweet",Colombia
Colombia /HULIA AROMA NATIVO,Bourbon Aji,"Tropical Fruit, Floral, Passion Fruit, Spice, Sweet",Colombia
Nicaragua/ JINOTEGA LAS DELICIAS,Javanica,"Tropical Fruit, Black Berry, Wine, Fermented, Berry, Apple, Sweet",Nicaragua
Honduras/EL SAUCE MADRID FAMILY,"Pacas, Parainema","Cran Berry, Floral, Berry, Grape Fruit, Honey, Citrus, Sweet",Honduras
"Panama / IRIS ESTATE ""SYMMETRY",Geisha,"Tropical Fruit, Wine, Fermented, Berry, Orange, Citrus, Apple",Panama
"Panama / IRIS ESTATE ""ENIGMA""",Geisha,"Lavender, Floral, Fermented, Berry, Cherry, Spice",Panama
"PANAMA / IRIS ESTATE ""VIVID",Geisha,"Tropical Fruit, Wine, Floral, Jasmine, Fermented, Orange, Citrus, Tea, Sweet",Panama
Panama/LERIDA GEISHA,Geisha,"Floral, Jasmine, Sweet, Lemon, Grape Fruit, Citrus, Tea",Panama
"パナマ / DE LA ROSA ""MOUNT TOTUMAS CLOUD FOOREST",Geisha,"Floral, Grape Fruit, Honey, Citrus, Apple, Sweet",Panama
Kenya Embu Kathakwa AA,"Sl28, Sl34","Currant, Floral, Vegetal, Berry, Tomato, Cherry",Kenya
Colombia CGLE Natural Light,,"Dried Fruit, Fermented, Rum, Plum, Chocolate, Cocoa, Spice, Raisin, Stone Fruit",Ethiopia
Colombia Cerro Azul Geisha XO Natural,Geisha,"Cognac, Dried Fruit, Fermented, Rum, Plum, Spice, Raisin, Stone Fruit",Panama
Colombia Finca El Paraiso Caturra Anti-maceration,Caturra,"Tropical Fruit, Sweet, Grape, Jelly, Apple, Mango, Stone Fruit",Colombia
Ethiopia Uraga Guji Burtukaana Siko #3,,"Fig, Apricot, Grape Fruit, Citrus, Stone Fruit",Ethiopia
Colombia Finca Puerto Alegre Lacia Geisha,Geisha,"Stone Fruit, Peach, Red Grape, Floral",Panama
Premium Ecuador La Marquesa Sidra Lightroast,Sidra,"Tropical Fruit, Nectarine, Banana, Herb, Orange, Citrus, Stone Fruit",Colombia
Lourdes De Naranjos Kenya Washed,Kenya,"Rose, Tropical Fruit, Cream, Acid, Orange, Citrus",Costa Rica
Kangocho Kenya,"Sl28, Sl34, Batian","Currant, Berry, Vanilla, Cherry, Sweet",Kenya
Ethiopia Kirite Washed,Ethiopian Heirlooms,"Peach, Floral, Lemon, Citrus, Stone Fruit",Ethiopia
Rwanda Murundo People's Farm,,"Tangerine, Tropical Fruit, Berry, Cherry, Citrus, Sweet, Spice",Ethiopia
Kenya Kiangoi AA,"Ruiru 11, Sl28, Sl34","Nectarine, Plum, Grape Fruit, Citrus, Stone Fruit",Kenya
Ecuador Hacienda La Papaya,Sidra,"Tropical Fruit, Ginger, Spice, Citrus, Apple, Tea",Colombia
Gesha pH Clarity Washed La Palma y El Tucan,Gesha,"Tropical Fruit, Floral, Stone Fruit, Citrus, Blood Orange",Colombia
Landrace Washed Wessi Tima,"Gibirinna 74110, Serto 74112","Nectarine, Floral, Honey, Citrus, Stone Fruit",Ethiopia
El Salvador Cafenor Big Honey,Pacamara,"Nut, Pie, Sweet Cream, Pecan, Fudge, Plum, Chocolate, Stone Fruit",El Salvador
Diogo Dias Teixeira De Macedo Arara Sao Paulo Brazil,Arara,"Rose, Floral, Plum, Honey, Apple, Sweet, Stone Fruit",Brazil
Infinity Blend,,,Ethiopia
Ep Luna,Geisha,"Floral, Jasmine, Sweet, Bergamot, Herb, Honey, Citrus, Tea",Panama
El Diviso Estates Caturra,Caturra,"Sweet Cream, Lemon, Butter, Caramel, Citrus, Stone Fruit",Colombia
Kenya Kii Peaberry,"Sl28, Sl34","Black Berry, Tropical Fruit, Orange, Floral, Sweet Cream, Berry, Apricot, Acid, Caramel, Citrus, Tea, Stone Fruit",Kenya
Coffees/749 Lala Salama Decaffeinated Uganda,"Sl14, Sl28, Nyasaland","Nut, Peach, Hazel Nut, Plum, Milk Chocolate, Cream, Stone Fruit",Uganda
Coffees/58 Cignobianco Signature Blend,"Catuai, Caturra, Colombia","Nut, Sweet Cream, Almond, Plum, Milk Chocolate, Caramel, Stone Fruit",Colombia
Coffees/736 Fazenda Barreiro Brazil,Yellow Bourbon,"Nut, Tropical Fruit, Cream, Almond, Berry, Milk Chocolate, Cherry, Orange, Citrus",Brazil
Coffees/747 El Desarrollo Colombia,"Caturra, Colombia","Nut, Black Berry, Berry, Red Apple, Caramel, Sweet",Colombia
Coffees/743 Kahondo Dr Congo,Bourbon,"Acid, Cran Berry, Rhubarb, Vegetal, Berry, Chocolate, Tobacco, Herb, Grape Fruit, Malt, Citrus, Earthy",Rwanda
Coffees/748 Los Angeles El Salvador,Pacamara,"Tropical Fruit, Dark Chocolate, Fig, Prune, Dried Fruit, Chocolate, Berry, Cherry, Apple",El Salvador
Coffees/741 Villa Betulia Colombia,Pink Bourbon,"Tropical Fruit, Dark Chocolate, Grape, Chocolate, Berry, Cherry, Orange, Citrus",Colombia
Coffees/737 Worka Wuri Ethiopia,Ethiopian Heirloom,"Sweet, Lemon, Bergamot, Spice, Citrus, Apple, Tea",Ethiopia
Coffees/733 Kiandu Aa Kenya,"Sl14, Sl28","Tropical Fruit, Lime, Currant, Sweet, Vegetal, Berry, Tomato, Brown Sugar, Orange, Citrus, Caramel",Kenya
Coffees/738 Kokeb Siwani Crop 2324 Ethiopia,Ethiopian Heirloom,"Lavender, Peach, Floral, Berry, Cherry, Tea, Stone Fruit",Ethiopia
Coffees/746 Aurelio Lasso Colombia,Pink Bourbon,"Tropical Fruit, White Chocolate, Dried Fruit, Straw Berry, Plum, Berry, Chocolate, Cherry, Orange, Citrus, Stone Fruit",Colombia
Coffees/745 El Mirador Carbonic Maceration Colombia,Bourbon,"Tropical Fruit, Passion Fruit, Grape, Papaya, Citrus, Sweet, Blood Orange",Rwanda
Coffees/742 Konga Amederaro Ethiopia,Ethiopian Heirloom,"Tropical Fruit, Lavender, Peach, Floral, Grape, Blue Berry, Berry, Papaya, Stone Fruit",Ethiopia
2025 Colombia Gesha Moon Omni,Gesha,"White Grape, Tea, Jasmine, Floral",Colombia
2025 Colombia Las Margaritas Sudan Rume Natural,Sudan Rume,"Tropical Fruit, Sweet Cream, Passion Fruit, Chocolate, Berry, Herb, Mint, Rasp Berry, Tea",Colombia
2025 Colombia Diego Horta Natural Filter,Gesha,"Tropical Fruit, Guava, Straw Berry, Grape, Berry",Colombia
2025 El Salvador Fes Borbonera 48H,Bourbon,"Dark Chocolate, Dried Fruit, Chocolate, Berry, Cherry, Raisin",Rwanda
2025 Colombia La Bonita Java Filter,Java,"Chocolate, Tropical Fruit, Guava",Colombia
2025 Diego Horta Washed Filter,Gesha,"Tropical Fruit, Milk, Sweet Cream, Melon, Red Grape, Honey, Citrus, Tea",Colombia
2025 Ethiopia Tokuma Decaf,Ethiopian Heirlooms,"Tropical Fruit, Pear, Cookie, Chocolate, Orange, Citrus, Sweet",Ethiopia
Kenya Kiamugumo,"Batian, Sl34, Ruiru 11, Sl28","Lemon, Blue Berry, Plum, Berry, Jam, Citrus, Sweet, Stone Fruit",Kenya
Colombia Elias Roa,Caturra,"Tropical Fruit, Lychee, Spice, Citrus, Blood Orange",Colombia
Colombia Sebastian Gomez Filter 2025,Gesha,"Tropical Fruit, Chocolate, Berry, Jam, Rasp Berry, Sweet",Colombia
Ethiopia Bookkisa,Gibirinna 74110 And Serto 74112,"Tropical Fruit, Sweet Cream, Straw Berry, Berry, Vanilla, Mango, Stone Fruit",Ethiopia
2025 Colombia Potosi Sidra Natural Omni,Sidra,"Tropical Fruit, Black Berry, Guava, Berry, Herb, Jam, Mint, Tea, Sweet",Colombia
2025 Brazil Daterra Low Caf,Laurina And Aramosa,"Citrus, Praline, Stone Fruit",Brazil
2025 Rwanda Gitesi,Red Bourbon,"Fig, Peach, Sweet, Berry, Jam, Tea, Stone Fruit",Rwanda
Ethiopia Chelbesa,Heirloom,"Tropical Fruit, Berry, Melon, Papaya, Tea",Ethiopia
2025 Kenya Gatuya,"Sl28, Sl34, Ruiru11, Batian","Tropical Fruit, Toffee, Caramel, Orange, Citrus, Sweet, Spice",Kenya
Panama Francescki Gesha,Gesha,"Tropical Fruit, Floral, Sweet Cream, Orange, Citrus",Colombia
Guatemala La Gardenia,Gesha,"Berry, Caramel, Floral",Colombia
Colombia Supernatural,"Castillo, Caturra, Geisha, Pink Bourbon And Colombia","Tropical Fruit, Chocolate, Cocoa Nib, Yogurt, Cream, Apple",Colombia
Peru Dionisio Pintado Gesha Filter,Gesha,"Black Berry, Floral, Jasmine, Berry, Chamomile, Tea",Colombia
Ethiopia Buku Sayisa Anaerobic,Dega And Wolisho,"Tropical Fruit, Cream, Berry, Milk Chocolate, Cherry",Ethiopia
Colombia Mariel Guevara,Caturra,"White Grape, Red Apple, Brown Sugar, Caramel, Citrus, Sweet",Colombia
Abel Salinas,Mejorado,"Tropical Fruit, Peach, Nectarine, Floral, Citrus, Berry, Honey, Orange, Rasp Berry, Sweet, Stone Fruit",Ecuador
El Salvador Finca Majahual Orange Bourbon Natural Filter,Orange Bourbon,"Tangerine, Tropical Fruit, Floral, Chocolate, Cocoa Nib, Orange, Citrus",Colombia
Losangeles,Pacamara,"Berry, Rasp Berry, Sweet, Maple Syrup",El Salvador
Los Angeles Filtr,Pacamara,"Berry, Rasp Berry, Sweet, Maple Syrup",El Salvador
Marcelino,Marshell,"Lychee, Tropical Fruit, Melon, Floral",Peru
Peru Santo Tomas,"Catuai, Catimor","Plum, Milk Chocolate, Cream, Tea, Stone Fruit",Peru
Peru Santo Tomas Filtr,"Catuai, Catimor","Plum, Milk Chocolate, Cream, Tea, Stone Fruit",Peru
Gotiti,Heirloom,"Sweet Cream, Blue Berry, Berry, Milk Chocolate, Acid",Ethiopia
Tumba,Red Bourbon,"Tropical Fruit, Vanilla, Citrus, Apple, Sweet",Rwanda
Rwanda Tumba Esp,Red Bourbon,"Tropical Fruit, Vanilla, Citrus, Apple, Sweet",Rwanda
Los Hermanos,"Catuai, Bourbon","Pie, Tropical Fruit, Sweet Cream, Pear, Chocolate, Cocoa, Anise, Spice",Peru
Peru Los Hermanos Esp,"Catuai, Bourbon","Pie, Tropical Fruit, Sweet Cream, Pear, Chocolate, Cocoa, Anise, Spice",Peru
Indonezie Pegasing Anaerobic Esp,Tim Tim & Gayo 1,"Milk Chocolate, Red Apple, Cream, Tea",Indonesia
Kolumbie Aristobulo Geisha,Geisha,"Tropical Fruit, Floral, Elder Flower, Dried Fruit, Apricot, Jam, Citrus, Sweet, Stone Fruit",Panama
Miravalles Pacamara El Salvador 250G,Pacamara,"Tropical Fruit, Lime, Sugar, Basil, Vegetal, Lemon, Herb, Caramel, Citrus, Sweet",El Salvador
Mihuti Aa Kenya 250G,"Sl28, Sl34, Ruiru-11, Batian","Tropical Fruit, Lime, Ginger, Spice, Yuzu, Caramel, Citrus, Honey, Sweet",Kenya
24018_Natural_Shyira_Rwanda (UK),Red Bourbon,"Berry, Tropical Fruit, Rasp Berry, Papaya",Rwanda
24017_Honey_Shyira_Rwanda (UK),Red Bourbon,"Black Berry, Berry, Spice, Apple, Sweet",Rwanda
24016_AnoxicWashed_Shyira_Rwanda (UK),Red Bourbon,"Lychee, Tropical Fruit, Fig",Rwanda
Dak - White Lotus,Java,"Lime, Floral, White Chocolate, Fermented, Chocolate, Citrus",Colombia
Supernatural,"Castillo, Caturra, Geisha, Pink Bourbon, Colombia","Tropical Fruit, Cream, Berry, Milk Chocolate, Cherry",Colombia
R07,Maragogipe,"Wine, Dried Fruit, Fermented, Chocolate, Cocoa, Herb, Sweet",Mexico
Mullugeta Muntasha,75148,"Fermented, Berry, White Grape, Acid, Tea",Ethiopia
Misty Forest,Harrar Long Berry,"Tropical Fruit, Lime, Sweet Cream, Lemon, Yuzu, Acid, Citrus",Mexico
Mariel Guevara,Caturra,"Apple, Sugar, Sweet",Colombia
Lemon Pearls,Heirloom,"Nectarine, Floral, Flower, Lemon, Citrus, Stone Fruit",Ethiopia
La Gardenia,Gesha,"Nut, Floral, Berry, Caramel, Sweet",Colombia
Kiamugumo,"Batian, Sl-34, Ruiru 11, Sl-28","Black Berry, Vegetal, Lemon, Blue Berry, Berry, Herb, Citrus, Sweet",Kenya
Juan Jimenez,Pink Bourbon,"Acid, Goose Berry, Berry, Grape, Bran, Rasp Berry",Colombia
Jose Calderon,Gesha,"Lime, Floral, Apricot, Brown Sugar, Caramel, Citrus, Tea, Sweet, Stone Fruit",Colombia
Swerl - Jhon Jairo,Tabi,"Tropical Fruit, Acid, Floral, Berry, Bran, Orange, Citrus, Honey, Sweet",Colombia
Luna - Jhoan Vergara,Pink Bourbon,"Acid, Floral, Fermented, Sweet, Lemon, Bergamot, Berry, Candy, Citrus, Tea",Colombia
Swerl - Huye Mountain,Red Bourbon,"Berry, Chocolate, Dark Chocolate, Sweet",Rwanda
Swerl - Hoyos Brothers,Pink Bourbon,"Acid, Green Apple, Floral, Sweet Cream, White Chocolate, Berry, Chocolate, Bran, Spice",Colombia
Swerl - Hacienda Sonora Sl28,Sl28,"Tropical Fruit, Berry, Cinnamon, Spice, Orange, Citrus, Sweet",Costa Rica
Dak - Grenadine,Papayo,"Pomegranate, Berry, Cherry, Citrus, Sweet",Colombia
Friedhats - Gitesi,Red Bourbon,"Fig, Peach, Sweet, Berry, Jam, Tea, Stone Fruit",Rwanda
Friedhats - Gatuya Aa,"Sl28, Sl34, Ruiru11, Batian","Tropical Fruit, Toffee, Caramel, Herb, Spice, Orange, Citrus, Sweet",Kenya
Friedhats - Franceschi,Gesha,"Tropical Fruit, Floral, Sweet Cream, Orange, Citrus",Colombia
Friedhats - Elias Roa,Caturra,"Spice, Lychee, Tropical Fruit, Sweet",Colombia
Swerl - El Suncita,Yellow Bourbon,"Nut, Nougat, Sweet Cream, Fermented, Pear, Milk Chocolate",Brazil
Exploradores de Café - Dos Amigos,Limaní- Mundo Maya,"Peach, Sweet Cream, Berry, Jam, Cherry, Acid, Stone Fruit",Mexico
Friedhats - Dionisio Pintado,Gesha,"Floral, Jasmine, Berry, Chamomile, Tea",Colombia
Swerl - Danilo Sanchez,Parainema,"Tropical Fruit, Berry, Brown Sugar, Caramel, Sweet, Blood Orange",Honduras
DAK - Currant Bluff,Bourbon Aji,"Tangerine, Tropical Fruit, Currant, Berry, Citrus, Tea",Colombia
Friedhats - Chelbesa,Ethiopian Heirlooms,"Tropical Fruit, Sweet, Melon, Papaya, Tea",Ethiopia
Exploradores de Café - Chardomex,Oro Azteca Catimor,"Green Grape, Nut, Sweet Cream, Berry, Acid, Tea",Mexico
Friedhats - Buku Sayisa,"Dega, Wolisho","Tropical Fruit, Berry, Melon, Papaya, Tea",Ethiopia
DAK - Blackberry Disco,"Ruiru 11, Sl28, Sl34","Black Berry, Currant, Rhubarb, Vegetal, Berry, Acid",Kenya
DAK - Big Apple,Pink Bourbon,"Green Grape, Tropical Fruit, Green Apple, Fermented, Berry, Cherry, Sweet, Spice",Colombia
Swerl - Arbegona Duwancho,Ethiopian Heirloom,"Tropical Fruit, Acid, Nectarine, Floral, Sweet Cream, Berry, Bran, Orange, Citrus, Stone Fruit",Ethiopia
Swerl - Ab Ngariama,"Batian, Sl28, Sl34, Ruiru 11","Currant, Passion Fruit, Berry, Brown Sugar, Caramel, Sweet",Kenya
Orange Spin - Burundi,Red Bourbon,"Nut, Tropical Fruit, Macadamia, Sweet Cream, Jam, Orange, Citrus",Rwanda
Affogato - Rwanda,Bourbon,"Nut, Milk, Sweet Cream, Cookie, Almond, Red Grape",Rwanda
Cheeky Blend - Colombia & Kenya,"Caturra, Sl28, Geisha, Pink Bourbon","Berry, Green Apple, Currant",Colombia
White Lotus - Colombia,Java,"Lime, Floral, White Chocolate, Chocolate, Citrus",Colombia
Blackberry Disco - Kenya,Sl28 & Sl34,"Black Berry, Currant, Rhubarb, Vegetal, Berry, Acid",Kenya
Lemon Pearls - Ethiopia,Heirloom,"Nectarine, Floral, Flower, Lemon, Citrus, Stone Fruit",Ethiopia
Big Apple - Colombia,Pink Bourbon,"Green Grape, Tropical Fruit, Green Apple, Fermented, Berry, Cherry, Sweet, Spice",Colombia
Banana Split - Colombia,Castillo,"Tropical Fruit, Toffee, Melon, Banana, Caramel",Colombia
Pineberry - Colombia,Pink Bourbon,"Floral, Jasmine, Sweet, Lemon, Honey, Citrus, Tea",Colombia
Hydro Honey - Ethiopia,Heirloom,"Tropical Fruit, Plum, Grape Fruit, Citrus, Stone Fruit",Ethiopia
Tropic Electric - Colombia,Caturra,"Tropical Fruit, Citrus, Vegetal, Lemon, Berry, Herb, Rasp Berry",Colombia
La Hierba Santa,Bourbon De Colasay,"Pomegranate, White Grape, Sweet, Confectionary",Peru
